Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Task,MK-37,10154,Dokumentáció,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Highest,To Do,,07/Nov/24 3:02 AM,07/Nov/24 3:02 AM,24/Nov/24 12:00 AM
Task,MK-36,10133,Adatvédelmi nyilatkozat oldal,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,High,To Do,,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,
Task,MK-35,10123,404 hiba oldal,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Low,To Do,,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,
Task,MK-34,10146,Sitemap generálása,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Medium,Final Approval,,07/Nov/24 2:34 AM,07/Nov/24 2:45 AM,
Task,MK-33,10122,Oldal betöltési sebességének optimalizálása,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,High,To Do,,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,
Task,MK-32,10132,Jelszó visszaállítás,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,High,To Do,,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,
Task,MK-31,10153,Felhasználói regisztráció,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,High,In Progress,,07/Nov/24 2:34 AM,07/Nov/24 2:45 AM,
Story,MK-30,10152,Felhasználói bejelentkezés,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,High,In Progress,,07/Nov/24 2:34 AM,07/Nov/24 2:45 AM,
Task,MK-29,10131,Projektek címkézése,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Low,To Do,,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,
Task,MK-28,10151,Portfólió projektek filterezése,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Medium,In Progress,,07/Nov/24 2:34 AM,07/Nov/24 2:45 AM,
Task,MK-27,10145,Weboldal loading spinner,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Low,Review,,07/Nov/24 2:34 AM,07/Nov/24 2:45 AM,
